CRN,ACCESS_CTRL,ADJ_RDWY_SEQ,LANE_COUNT,OFFSET,RDWY_COUNTY,RDWY_ORIENT,RDWY_SEQ_NUM,ROAD_OWNER,ROUTE,SEGMENT,SPEED_LIMIT,STREET_NAME
2010075082,3.0,4,2.0,2889.0,67,S,4,2,532.0,31.0,35.0,BUSTLETON AV
2010028250,3.0,3,2.0,38.0,67,S,3,2,532.0,81.0,35.0,BUSTLETON AV
2010122375,,3,1.0,,67,W,4,4,,,25.0,OXFORD ST
2010074530,3.0,5,2.0,641.0,67,E,5,2,1009.0,14.0,25.0,BRIDGE ST
2010032466,,3,2.0,,67,S,3,4,,,25.0,SECOND ST
2010089107,3.0,3,2.0,2959.0,67,N,3,2,232.0,72.0,25.0,OXFORD AV
2010050573,1.0,3,4.0,1079.0,67,W,3,1,76.0,3405.0,50.0,SCHUYLKILL EX
2010081817,,4,2.0,,67,S,4,4,,,,TWENTYTHIRD ST
2010117715,3.0,6,2.0,605.0,67,S,6,2,1009.0,15.0,25.0,BRIDGE ST
2010069860,,4,2.0,,67,N,3,4,,,25.0,KENSINGTON AV
2010017249,,5,2.0,,67,E,4,4,,,35.0,SEVENTYSIXTH AV
2010020206,3.0,3,2.0,1506.0,67,W,3,2,4009.0,10.0,35.0,ROBERTS AV
2010118029,1.0,4,1.0,0.0,67,N,4,2,8033.0,760.0,45.0,RAMP E RD
2010122412,,4,99.0,,67,E,3,4,,,,INGERSOLL ST
2010084233,,3,2.0,,67,W,4,4,,,,BELLEVUE ST
2010117793,,4,2.0,,67,W,4,4,,,,CINNAMINSON ST
2010122373,,6,2.0,100.0,67,S,6,2,3005.0,121.0,35.0,BELMONT AV
2010074410,,4,2.0,,67,W,3,4,,,25.0,WALNUT LN
2010027943,,3,99.0,,67,N,3,4,,,,HALDEMAN AV
2010105641,,3,2.0,,67,N,4,4,,,,GIFFORD ST
2010048897,,4,2.0,,67,E,3,4,,,25.0,SPRINGFIELD AV
2010025539,1.0,3,3.0,893.0,67,E,3,1,76.0,3460.0,50.0,SCHUYLKILL EX
2010113606,,3,2.0,,67,W,4,4,,,25.0,DICKS AV
2010122472,3.0,3,2.0,0.0,67,E,3,2,2008.0,40.0,30.0,GIRARD AV
2010074464,3.0,5,2.0,1100.0,67,E,5,2,30.0,70.0,50.0,GIRARD AV
2010032789,,3,2.0,,67,E,3,4,,,25.0,TULPEHOCKEN ST
2010121896,1.0,5,1.0,470.0,67,E,5,2,8059.0,10.0,,
2010052279,,4,1.0,,67,N,3,4,,,,SECOND ST
2010084232,,5,1.0,,67,W,5,4,,,,BIGLER ST
2010113832,,3,2.0,,67,E,3,4,,,25.0,MIDDLETON ST
2010121900,,3,2.0,,67,N,4,4,,,,GLENFIELD ST
2010039264,3.0,4,2.0,0.0,67,S,4,2,1.0,21.0,35.0,CITY AV
2010116334,3.0,3,4.0,2054.0,67,S,3,2,3007.0,91.0,35.0,KELLY DR
2010121463,,3,2.0,,67,E,4,4,,,25.0,WOODLAND AV
2010036547,1.0,3,4.0,426.0,67,S,3,1,95.0,171.0,55.0,DELAWARE EX
2010105912,3.0,10,2.0,0.0,67,S,10,2,3015.0,91.0,35.0,SIXTYTHIRD ST
2010094271,,3,2.0,,67,E,3,4,,,25.0,SIXTYSEVENTH AV
2010048869,3.0,3,2.0,2148.0,67,B,3,2,13.0,100.0,25.0,THIRTYTHIRD ST
2010075908,3.0,6,2.0,397.0,67,S,6,2,3031.0,11.0,,MARSHALL RD
2010118447,,3,1.0,,67,S,3,4,,,,SIXTH ST
2010070022,3.0,3,2.0,532.0,67,W,3,2,3021.0,10.0,25.0,ELMWOOD AV
2010017123,3.0,3,2.0,306.0,67,W,3,2,3010.0,61.0,30.0,MARKET ST
2010032649,3.0,3,3.0,2742.0,67,S,3,2,6001.0,211.0,40.0,ROOSEVELT BL
2010122609,,4,2.0,,67,W,3,4,,,20.0,COMLY ST
2010052202,3.0,3,2.0,2344.0,67,E,3,2,3.0,100.0,35.0,CHESTNUT ST
2010081539,,4,2.0,,67,N,3,4,,,35.0,FARRAGUT ST
2010033909,1.0,4,1.0,0.0,67,E,4,2,8061.0,10.0,,RAMP RD
2010067966,3.0,3,3.0,2310.0,67,N,3,2,1.0,180.0,40.0,ROOSEVELT BL
2010016783,1.0,3,4.0,1521.0,67,N,3,1,95.0,240.0,55.0,DELAWARE EX
2010114564,3.0,3,2.0,332.0,67,S,3,2,2007.0,121.0,25.0,FRANKFORD AV
2010122531,,3,2.0,,67,E,4,4,,,25.0,SPRUCE ST
2010052329,3.0,3,2.0,718.0,67,N,3,2,1016.0,30.0,30.0,HOLME AV
2010039294,3.0,3,2.0,1506.0,67,W,3,2,4009.0,10.0,35.0,ROBERTS AV
2010117819,3.0,5,2.0,2117.0,67,N,5,2,1009.0,150.0,25.0,BUSTLETON AV
2010068364,1.0,4,1.0,2035.0,67,E,4,1,8012.0,250.0,,RAMP RD
2010074428,,4,2.0,,67,N,3,4,,,,FRANKLIN ST
