CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2007106083,2007,,0,,N1A,8.0,1
2007109441,2007,,0,,????????????,7.0,1
2007120731,2007,,0,,,,1
2007047664,2007,,0,,W,9.0,1
2007067101,2007,,0,,RX0O6O,7.0,3
2007067196,2007,,0,,,9.0,1
2007080026,2007,,0,,,6.0,2
2007080210,2007,,0,PA,GNAZ302,,1
2007090156,2007,,0,NJ,TJDE3M,7.0,1
2007099511,2007,,0,,,,2
2007116248,2007,,0,,,,3
2007120623,2007,,0,PA,GSH6638,4.0,2
2007123841,2007,,0,,,,2
2007028270,2007,,0,,64K40VQ,6.0,2
2008005952,2007,,0,,,7.0,2
2007058641,2007,,0,,,9.0,1
2007081645,2007,,0,,,8.0,1
2007091897,2007,,0,,,,1
2007106083,2007,,0,PA,6PX3Z15,,2
2007106461,2007,,0,,CI522Y,6.0,2
2007109457,2007,,0,,,,1
2008004923,2007,,0,,,,1
2007047679,2007,,0,,,,2
2007080022,2007,,0,,,8.0,2
2007080851,2007,,0,PA,Y2EY4S5,8.0,2
2007080960,2007,,0,,,,1
2007111429,2007,,0,,,9.0,2
2007127601,2007,,0,,,,2
2008029159,2007,,0,,,,2
2007067388,2007,,0,PA,4G5B2M,8.0,2
2007082495,2007,,0,,RU8Y,6.0,1
2007092258,2007,,0,,,,1
2007092309,2007,,0,,,,1
2007092411,2007,,0,,,,2
2007098692,2007,,0,,,,1
2007107084,2007,,0,,,,1
2008029745,2007,,0,,,,2
2007034558,2007,,0,PA,YZ00289,7.0,3
2007047551,2007,,0,,,,2
2007047875,2007,,0,,55V482W6,7.0,2
2007056924,2007,,0,,,,1
2007059595,2007,,0,,X6IZ4,7.0,1
2007066874,2007,,0,,M,,2
2007090008,2007,,0,,,,2
2007093598,2007,,0,NJ,4SI05S9,6.0,2
2007098833,2007,,0,,NM,8.0,1
2007107520,2007,,0,,,,1
2007123986,2007,,0,,,8.0,2
2007127672,2007,,0,PA,TOS94G,9.0,1
2007025626,2007,,0,FL,C8831L,7.0,1
2008018041,2007,,0,PA,PT696Z5,6.0,1
2008024526,2007,,0,,,,1
2007047523,2007,,0,MO,0G7C7I,7.0,1
2007065641,2007,,0,,,7.0,1
2007067388,2007,,0,,M94K,8.0,1
2007097852,2007,,0,,247LR03V,6.0,2
2007099096,2007,,0,PA,PT57MF,7.0,1
2007116248,2007,,0,,,,2
2007120225,2007,,0,,,,2
2007126536,2007,,0,,,,2
2008022748,2007,,0,MD,625673G,6.0,2
2007023208,2007,,0,,4A,7.0,2
2007054647,2007,,0,NJ,T20N4M,7.0,1
2007082593,2007,,0,,,,2
2007098746,2007,,0,,,,1
2007120225,2007,,0,,,,3
2007127365,2007,,0,,,2.0,1
2012030689,2007,,0,ZZ,999999999999,7.0,1
2008007279,2007,,0,,1,1.0,2
2007028830,2007,,0,,,1.0,1
2007081122,2007,,0,NJ,A533Z,7.0,1
2007093573,2007,,0,,,6.0,1
2007098809,2007,,0,,,,1
2007109451,2007,,0,,,,2
2007124163,2007,,0,,,8.0,1
2007125020,2007,,0,,,8.0,1
2008000426,2007,,0,,,,1
2008017400,2007,,0,,,,1
2007045736,2007,,0,IL,T98672,6.0,2
2007067243,2007,,0,,,,3
2007092811,2007,,0,,????????????,,2
2007100019,2007,,0,,,,2
2007047008,2007,,0,IN,,7.0,1
2007066212,2007,,0,,,,3
2007066375,2007,,0,,,,1
2007080842,2007,,0,,,7.0,1
2007099361,2007,,0,,,8.0,1
2007106815,2007,,0,,I7S0G,7.0,1
2007110365,2007,,0,,,6.0,2
2007123812,2007,,0,,252OHI,6.0,2
2008006669,2007,,0,,,,1
2008024051,2007,,0,,,,2
2007091242,2007,,0,,????????????,,1
2007092752,2007,,0,,,,4
2007112115,2007,,0,,,,1
