CRN,CURVED_ROAD,DISTRACTED,DRUG_RELATED,DRUGGED_DRIVER,IMPAIRED_DRIVER,INTERSECTION,INTERSTATE,SPEEDING,SPEEDING_RELATED,WET_ROAD
2011023555,0,0,0,0,0,0,0,0,0,0
2010081988,0,0,0,0,0,0,0,0,0,0
2010056098,0,0,0,0,0,1,0,0,0,0
2010090793,0,0,0,0,0,0,0,0,0,0
2011090561,0,0,0,0,0,1,0,0,0,0
2010106707,0,0,0,0,0,0,0,0,0,0
2010099868,1,0,0,0,0,1,0,0,0,0
2010088214,0,0,0,0,1,0,0,0,0,0
2011022436,1,0,0,0,0,0,0,0,0,0
2010039543,0,0,0,0,0,0,0,0,0,1
2010072518,0,0,0,0,0,0,0,0,0,0
2010003814,0,0,0,0,0,0,1,0,1,0
2010068683,0,0,0,0,0,0,0,0,0,0
2010075027,0,0,0,0,0,0,0,0,0,0
2010063449,0,0,0,0,0,0,1,0,0,0
2010067489,0,0,0,0,0,1,0,0,1,0
2010107789,0,0,0,0,0,0,0,0,0,0
2010082145,0,0,0,0,0,1,0,0,0,0
2010096723,0,0,1,1,1,0,0,0,0,0
2010041493,0,0,0,0,0,0,0,0,0,0
2010016281,0,0,0,0,0,0,0,0,1,1
2010076787,0,1,0,0,0,0,0,0,0,0
2010026336,0,0,0,0,0,0,0,0,0,1
2010026544,0,0,0,0,0,0,0,0,0,1
2010087780,0,0,1,1,1,0,0,0,0,0
2010086821,1,0,0,0,1,0,0,0,1,0
2010040632,0,0,0,0,0,1,0,0,0,0
2010073074,0,0,0,0,0,0,0,0,1,0
2010091155,0,0,0,0,0,1,0,0,0,0
2010027290,0,0,0,0,1,1,0,0,0,0
2010118123,0,0,0,0,0,1,0,0,0,0
2010086310,1,0,0,0,0,0,1,0,0,0
2011000367,1,0,0,0,0,0,1,0,0,0
2010016179,0,1,0,0,0,0,1,0,0,0
2010102402,1,0,0,0,0,0,0,0,0,0
2010079919,0,0,0,0,0,1,0,0,0,0
2010102882,0,0,0,0,0,1,0,0,0,0
2010123612,0,0,0,0,0,0,0,0,0,1
2010020266,0,0,1,1,1,1,0,0,0,0
2010097924,0,0,0,0,0,0,0,0,0,0
2010110679,0,0,0,0,0,0,1,0,0,0
2010047200,0,1,0,0,0,0,0,0,0,0
2010038897,0,0,0,0,0,1,0,0,0,0
2010106581,1,0,0,0,0,1,0,0,0,0
2010114422,0,1,0,0,0,1,0,0,0,0
2010124170,0,0,0,0,1,0,0,0,1,0
2010067387,0,0,0,0,0,1,0,0,0,0
2010016573,0,0,0,0,0,0,0,0,0,0
2010129287,0,0,0,0,0,0,1,0,0,0
2010127515,0,1,0,0,0,1,0,0,0,0
2010027674,0,1,0,0,0,1,0,0,0,0
2010029874,0,1,0,0,0,0,0,0,0,1
2010086035,0,0,0,0,0,1,0,0,0,0
2010094617,0,0,0,0,0,1,0,0,0,0
2010068990,0,0,0,0,0,1,0,0,0,0
2010070594,0,0,0,0,0,0,0,0,0,0
2010057009,0,0,0,0,0,1,0,0,0,0
2010058099,0,0,0,0,0,1,0,0,0,0
2010066587,0,0,0,0,0,1,0,0,0,0
2010067239,0,0,0,0,0,0,0,0,0,0
2010096718,1,0,0,0,0,1,0,0,0,0
2010010377,0,0,0,0,0,1,0,0,1,0
2010044640,0,0,0,0,0,0,0,0,0,0
2010058579,0,1,0,0,0,0,0,0,0,0
2010023938,0,0,0,0,0,0,1,0,0,0
2010034578,0,0,0,0,0,1,0,0,0,0
2010110977,1,0,1,1,1,1,0,0,0,0
2010116267,0,0,0,0,0,1,0,0,0,0
2010093392,1,0,0,0,1,0,0,0,1,0
2010107879,0,0,0,0,0,0,1,0,0,0
2010077804,1,0,0,0,1,0,0,0,0,0
2010110543,1,0,0,0,0,0,0,0,0,1
2010106856,0,0,0,0,0,0,1,0,0,0
2010018649,0,0,0,0,0,0,0,0,0,0
2010113497,0,0,0,0,0,1,0,0,1,1
2010119377,0,0,0,0,0,0,0,0,0,1
2010121641,0,0,0,0,0,1,0,0,1,1
2010099050,0,1,0,0,0,0,0,0,0,0
2010053066,0,1,0,0,0,0,0,0,0,0
2010049531,0,0,0,0,0,1,0,0,0,0
2010049585,0,0,0,0,0,1,0,0,0,1
2010043965,0,0,0,0,0,0,0,0,0,0
2010083432,0,0,0,0,0,0,0,0,0,0
2010062772,0,0,0,0,0,1,0,0,0,0
2010102087,0,0,0,0,0,0,1,0,0,0
2010051703,0,0,0,0,0,0,0,0,0,0
2010004886,0,0,0,0,0,0,0,0,0,0
2010043974,0,1,0,0,0,0,0,0,0,0
2010066187,0,1,0,0,0,1,0,0,0,0
2010010082,0,0,0,0,0,1,0,0,0,0
2010121196,0,0,0,0,0,1,0,0,0,0
2010101554,1,0,0,0,1,1,0,0,1,0
2010053685,0,0,0,0,0,1,0,0,1,0
2010108499,1,1,0,0,0,0,0,0,0,0
2010103472,0,0,0,0,0,1,0,0,0,1
2010105111,0,1,0,0,0,1,0,0,1,1
2010109037,0,0,0,0,0,0,0,0,1,0
2010041575,0,0,0,0,0,1,0,0,0,0
2010044191,0,0,0,0,0,1,0,0,0,0
2010115844,0,0,0,0,0,1,0,0,0,0
2010102468,0,0,0,0,0,0,0,0,0,1
2010091455,1,0,0,0,0,0,0,0,1,0
2010066316,0,1,0,0,0,0,0,0,0,0
2010035100,0,0,0,0,0,0,0,0,0,0
2010106239,0,0,0,0,0,1,0,0,1,1
2010021033,0,0,0,0,0,1,0,0,0,1
2010086730,1,1,1,1,1,0,0,0,0,0
2010065439,1,0,0,0,0,0,0,0,0,0
2010114742,0,1,0,0,0,1,0,0,0,0
2010085482,0,0,0,0,0,1,0,0,0,0
2010100050,0,0,0,0,0,0,0,0,0,1
2010087651,0,0,0,0,0,0,0,0,0,0
2010057235,0,0,0,0,0,0,0,0,0,0
2010050271,1,0,0,0,0,0,0,0,0,0
2010051884,0,1,0,0,0,0,0,0,0,0
2010001188,0,0,0,0,1,0,0,0,0,0
2010005091,0,0,0,0,0,1,0,0,1,0
2010111766,0,0,0,0,0,0,0,0,0,0
2010115174,0,1,0,0,0,0,0,0,0,0
2010055196,0,0,0,0,0,1,0,0,0,0
2010034666,0,0,0,0,0,1,0,0,0,1
2010013165,0,0,0,0,1,1,0,0,1,0
2010064804,1,0,0,0,0,0,0,1,1,0
2010090778,0,0,0,0,0,0,0,0,1,0
2010028117,0,0,0,0,0,1,0,0,0,1
2010088154,0,0,0,0,0,0,0,0,0,0
2010124013,0,0,0,0,0,0,0,0,1,0
2010059503,0,0,0,0,0,0,0,0,0,0
2010101891,0,0,0,0,0,0,0,0,0,0
2010045434,0,0,0,0,0,1,0,0,0,0
2010090689,0,0,0,0,0,0,1,0,0,0
2010019642,0,0,0,0,0,1,0,0,0,0
2010069661,0,0,0,0,0,1,0,0,0,0
2010089438,1,0,0,0,0,0,0,0,1,1
2010064612,0,0,0,0,0,0,0,0,0,0
2010067931,0,0,0,0,0,1,0,0,0,0
2010012126,0,1,0,0,0,1,0,0,0,0
2010028549,0,0,0,0,0,1,0,0,0,1
2010032684,0,0,0,0,0,1,0,0,0,0
2010127055,0,0,0,0,0,1,0,0,0,0
2010067635,0,0,0,0,0,1,0,0,0,0
2010096221,1,0,0,0,0,0,0,0,1,1
2010007689,1,1,0,0,0,0,0,0,0,0
2010029396,0,0,0,0,0,0,0,0,0,0
2010030935,1,0,0,0,1,0,0,0,1,1
2010083870,0,0,0,0,0,1,0,0,0,0
2010061383,0,0,0,0,0,1,0,0,0,0
2010053446,0,0,0,0,0,0,0,0,0,0
2010054346,0,0,0,0,1,1,0,0,0,0
2010125388,0,0,0,0,0,1,0,0,0,0
2010079852,0,1,0,0,0,0,0,0,0,0
2010043038,0,0,0,0,0,1,0,0,1,0
2010017695,1,0,0,0,0,0,0,0,1,0
2010010823,0,0,0,0,0,0,0,0,0,0
2010056477,1,0,0,0,0,0,0,0,1,0
2011002270,0,0,0,0,0,0,0,0,0,1
2010113097,0,0,0,0,0,1,0,0,0,0
2010074245,1,0,0,0,1,0,0,0,1,1
2010124224,1,0,0,0,0,0,1,0,0,0
2010015421,1,0,0,0,0,0,0,0,1,0
2010093638,0,1,0,0,0,0,1,0,0,0
2010039026,0,0,0,0,0,0,0,0,0,0
2010033252,0,1,0,0,0,1,0,0,0,0
2010091705,0,0,0,0,0,1,0,0,0,0
2010107856,0,0,0,0,0,0,0,0,0,0
2010056485,0,0,0,0,0,1,0,0,0,1
2010058062,0,0,0,0,1,0,0,0,0,0
2010120655,0,0,0,0,0,1,0,0,0,0
2010059812,1,0,0,0,0,0,0,0,0,1
2010063269,0,0,0,0,0,0,0,0,1,1
