OBJECTID,STATEWIDE_ID,DISTRICT_ID,STATUS_ID,MPMS_PROJ_ID,PLAN_DEPLOY_YEAR,INSTALL_TYPE_ID,STRUCT_TYPE_ID,POLE_HEIGHT,LOC_DISTRICT_NO,OWNER_DISTRICT_NO,LOCATION_DESC,MILE_MARKER,EXIT_NUMBER,CTY_CODE,ST_RT_NO,JURIS,SEG_NO,OFFSET,LATITUDE,LONGITUDE,SOURCE_IS_LATLONG,SIDE_IND,MANUFACTURER,MODEL,POWER_TYPE_ID,COMM_TYPE_ID,INSTALLATION_DATE,URL,IS_FROM_STATEWIDE,IS_FROM_REGIONAL,IS_FROM_ROPS,IS_FROM_MPMS,RECORD_UPDATE,ID,GIS_UPDATE_DATE,GIS_GEOMETRY_UPDATE_DATE,SE_ANNO_CAD_DATA,GPID,Has Geometry
8471,CAM-06-297,CM 3071,1,64479,2008,1,8,55,06,06,Lincoln Hwy. & 1st Avenue (Coatesville),999.9000244,999,15,0082,1,0442,29,39.98316,-75.82387,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2008 12:00:00 AM,http://10.28.0.245/thumbs/CAM06297CM3071.flv.jpg,,,,,2/27/2024 8:32:58 PM,594,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8471,Y
8472,CAM-06-298,CM 3072,1,64479,2008,1,8,55,06,06,Lincoln Hwy. & 7th Avenue (Coatesville),999.9000244,999,15,0082,1,0432,2176,39.98511,-75.81085,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2008 12:00:00 AM,http://10.28.0.245/thumbs/CAM06298CM3072.flv.jpg,,,,,2/27/2024 8:32:59 PM,595,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8472,Y
8473,CAM-06-299,CM 1101,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Harbison Ave.,999.9000244,999,67,2009,1,0090,2243,40.01338,-75.06846,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06299CM1101.flv.jpg,,,,,2/27/2024 8:33:00 PM,596,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8473,Y
8474,CAM-06-300,CM 1102,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Robbins Ave.,999.9000244,999,67,1024,1,0020,28,40.0205,-75.05357,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06300CM1102.flv.jpg,,,,,2/27/2024 8:33:00 PM,597,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8474,Y
8475,CAM-06-301,CM 1103,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Levick St.,999.9000244,999,67,1004,1,0140,693,40.02152,-75.05162,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06301CM1103.flv.jpg,,,,,2/27/2024 8:33:01 PM,598,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8475,Y
8476,CAM-06-302,CM 1104,1,79683,2010,1,8,55,06,06,Torresdale Ave. and Princeton Avenue,999.9000244,999,67,1004,1,0160,27,40.02816,-75.03876,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06302CM1104.flv.jpg,,,,,2/27/2024 8:33:02 PM,599,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8476,Y
8477,CAM-06-303,CM 1105,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Cottman Ave.,999.9000244,999,67,1004,1,0170,35,40.03011,-75.03499,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06303CM1105.flv.jpg,,,,,2/27/2024 8:33:02 PM,600,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8477,Y
8478,CAM-06-304,CM 1106,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Rhawn St.,999.9000244,999,67,1004,1,0180,2142,40.03524,-75.02505,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06304CM1106.flv.jpg,,,,,2/27/2024 8:33:03 PM,601,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8478,Y
8479,CAM-06-305,CM 1107,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Ashburner St.,999.9000244,999,67,1004,1,0200,37,40.04031,-75.01526,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06305CM1107.flv.jpg,,,,,2/27/2024 8:33:04 PM,602,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8479,Y
8480,CAM-06-306,CM 1108,1,79683,2010,1,8,55,06,06,Torresdale Ave. & Linden Ave.,999.9000244,999,67,1004,1,0220,1807,40.05037,-74.99971,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06306CM1108.flv.jpg,,,,,2/27/2024 8:33:04 PM,603,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8480,Y
8481,CAM-06-307,CM 1109,1,79683,2010,1,8,55,06,06,State Rd. at Princeton Ave.,999.9000244,999,67,1007,1,0080,0,40.02392,-75.03526,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06307CM1109.flv.jpg,,,,,2/27/2024 8:33:05 PM,604,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8481,Y
8482,CAM-06-308,CM 1110,1,79683,2010,1,8,55,06,06,State Rd. at Cottman Ave.,999.9000244,999,67,1007,1,0080,35,40.02565,-75.03149,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06308CM1110.flv.jpg,,,,,2/27/2024 8:33:05 PM,605,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8482,Y
8483,CAM-06-309,CM 1111,1,79683,2010,1,8,55,06,06,Aramingo Ave. & Tacony St.,999.9000244,999,67,2009,1,0080,2486,40.00805,-75.0724,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06309CM1111.flv.jpg,,,,,2/27/2024 8:33:06 PM,606,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8483,Y
8484,CAM-06-310,CM 1112,1,79683,2010,1,8,55,06,06,Harbison Ave. & Sanger St.,999.9000244,999,67,2009,1,0100,782,40.01684,-75.06683,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06310CM1112.flv.jpg,,,,,2/27/2024 8:33:07 PM,607,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8484,Y
8485,CAM-06-311,CM 1113,1,80094,2010,1,8,55,06,06,I-95 Girard Avenue offramp,999.9000244,999,67,9999,1,,,39.97332,-75.12287,T,1,Bosch,Envirodome LTC 0928/25C,1,4,1/1/2010 12:00:00 AM,http://10.28.0.245/thumbs/CAM06311CM1113.flv.jpg,,,,,2/27/2024 8:33:07 PM,608,8/5/2019 1:14:05 PM,8/5/2019 1:14:05 PM,,8485,Y
