CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2008101285,3.0,4.0,1956 STOUT DRIVE,,HARLEYSVILLE,PA,19124,RP BLAIR EQUIPMENT RENTAL INC,2159626488.0,73280.0,,,,,N,,,,,,N,,,,,,,2,00653578,9.0
2008132936,99.0,8.0,102 MEDIA LINE RD,,NEWTON SQUARE,PA,19073,MARPLE NEWTON SCHOOL DIST,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2009012728,99.0,8.0,3101 E ORTHODOX ST,,PHILADELPHIA,PA,19137,YELLOW BUS CO,2152891022.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2009013662,99.0,1.0,901 MARKET ST,,PHILADELPHIA,PA,99999,UNITED STATES POSTAL OFFICE,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,99.0
2009013691,99.0,1.0,4503 GERLING BLVD,,COLUMBUS,OH,43232,KIRBY LANDRY LLC,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,8.0
2009030776,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,2155807800.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008055033,99.0,1.0,P.O. BOX 45308,,OMAHA,NE,68145,WERNER ENTERPRISES INC,9999999999.0,,,,,,N,,,,,,U,,,,,,,1,,8.0
2008072739,2.0,8.0,"1234 MARKET ST, 14TH FL",,PHILADELPHIA,PA,999999999,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,1,,11.0
2008081467,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008118568,2.0,8.0,1234 MARKET STREET,PHILADELPHIA PA 19107,PHILADELPHIA,PA,19107,SEPTA,2155803846.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008133648,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2009031148,99.0,8.0,3101 E ORTHODOX ST,,PHILADELPHIA,PA,19137,YELLOWBIRD BUS CO,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008040445,4.0,4.0,PO BOX 438,,BERLIN,NJ,08009,MJF MATERIALS LLC,8564359004.0,800000.0,,,,,N,,,,,,N,,,,,,,1,01009912,4.0
2008046090,2.0,3.0,271 N. SHERMAN STREET,,WILKES BARRE,PA,18705,FALCONES TOWING SERVICE INC.,5707607438.0,33000.0,,,,,N,,,,,,N,,,,,,,2,00457689,3.0
2008046748,3.0,8.0,1234 MARKET ST. 14TH FL,,PHILADELPHIA,PA,19107,SOUTHEASTERN PA TRANSPORTATION A,2155807344.0,26000.0,,,,,N,,,,,,N,,,,,,,1,00010206,11.0
2008049349,2.0,3.0,1775 BASELINE ROAD,,OSNEGO,IL,60543,KEEN TRANSPORT INC.,3092667816.0,80009.0,,,,,N,,,,,000313626,N,,A-00102431,,,,,1,00120673,6.0
2008051766,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,2,,11.0
2008057372,99.0,8.0,734 SCHUYLKILL AVE,,PHILADELPHIA,PA,19146,SCHOOL DISTRICT OF PHILA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,2,,11.0
2008057746,2.0,1.0,1592 RT 38 PO BOX 619,,LUMBERTON,NJ,08048,HADDON HOUSE,8772944437.0,,,,,,N,,,,,,N,,,,,,,3,00297242,6.0
2008069533,2.0,8.0,"1234 MARKET ST, 14TH FL",,PHILADELPHIA,PA,999999999,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,,,,,,2,,11.0
2008081509,5.0,1.0,10 88 COUNTRY RD,,HOLGATE,OH,43527,ZACHRICH TRANSPORTATION,8005372648.0,800000.0,,,,,N,,,,,,N,,,,,,,2,00561586,8.0
2008100548,99.0,8.0,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,N,,,,,,,1,,11.0
2008103101,99.0,8.0,1234 NORTH ST,14TH FLOOR,PHILADELPHIA,PA,99999,SEPTA,9999999999.0,,,,,,,,,,,,,,,,,,,1,,11.0
