CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PERMITTED,PUC_NUM,SPECIAL_SIZING1,SPECIAL_SIZING2,SPECIAL_SIZING3,SPECIAL_SIZING4,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2022009275,3.0,4,2288 STOYSTOWN RD,,FRIEDENS,PA,15541,STANCZYK TRANSPORT,8144831191.0,073280,,,,,N,,,,,,,,A-08919832,0.0,,,,1,02790128,9
2022046250,3.0,1,1717 BUSE RD,,EL GROVE VILLAGE,IL,60007,CEVA FREIGHT LLC,2816183100.0,080000,,,,,N,,,,,,,99.0,,0.0,,,,2,01719074,8
2022047170,99.0,99,UNK,,UNK,PA,99999,SHAWN CAR FLEET,9999999999.0,025999,,,,,,,,,,,,,,0.0,,,,2,,99
2022117995,99.0,8,1234 MARKET ST,,PHILA,PA,19107,SEPTA,9999999999.0,,,,,,N,,,,,,,,,0.0,,,,2,,13
2022017597,3.0,2,400 S BROAD ST PO BOX 1669,,LANSDALE,PA,19446,CLYDE WALTON,2673544039.0,033000,3.0,,,,Y,1.0,,,,,,,0,0.0,,,,2,02073884,4
2022056172,2.0,0,2235 BEAVER AVE,,PITTSBURGH,PA,15233,PORT AUTHORITY OF ALLEGHENY CO,4124422000.0,041600,,,,,N,,,,,,,2.0,A-00976060,0.0,,,,2,,13
2022056172,2.0,0,2235 BEAVER AVE,,PITTSBURGH,PA,15233,PORT AUTHORITY OF ALLEGHENY CO,4124422000.0,041600,,,,,N,,,,,,,2.0,A-00976060,0.0,,,,1,,13
2022089266,3.0,4,44 BOYKO DRIVE,,LEHIGHTON,PA,18235,KERSCHNER TRUCKING LLC,5702251833.0,,,,,,N,,,,,,,99.0,A-8922242,0.0,,,,1,03231923,4
2022063724,2.0,3,8 W SIDDDONSBURG RD,,DILLSBURG,PA,17019,HSK LANDSCAPE INC,7175545093.0,011000,,,,,N,,,,,,,,,0.0,,,,3,02551264,9
2022071656,2.0,1,410 TERRY AVENUE,,NORTH SEATTLE,WA,98109,AMAZON LOGISTICS,8882804331.0,019500,,,,,N,,,,,,,1.0,,0.0,,,,1,01781487,2
2022071656,5.0,1,28 ANSONIA ST,,HARTFORD,CT,06114,MARKLIN PATRICE TRUCKING LLC,8603281352.0,080000,,,,,N,,,,,,,1.0,,0.0,,,,2,02200984,8
2022084509,5.0,1,3801 OLD GREENWOOD ROAD,,FORT SMITH,AR,71903,ABF FREIGHT SYSTEM INC,9738820116.0,080000,3.0,,,,Y,2.0,,,,,,1.0,,0.0,,,,1,00082866,8
2022107485,2.0,1,2675 MORGANTOWN ROAD,,READING,PA,19601,PENSKE,8005296531.0,026000,,,,,N,,,,,,,1.0,,0.0,,,,1,00327574,0
2022042152,2.0,1,1020 LEHIGH AVE.,,LANCASTER,PA,17602,SCHOOL DISTRICT OF LANCASTER,7174641126.0,025950,,,,,N,,,,,,,,,0.0,,,,1,,2
2022042152,2.0,8,8 BEAVER VALLEY PK,,LANCASTER,PA,17584,SHULTZ,7174645800.0,211273,,,,,N,,,,,,,,,0.0,,,,2,,12
2022042152,2.0,8,8 BEAVER VALLEY PK,,LANCASTER,PA,17584,SHULTZ,7174645800.0,211273,,,,,N,,,,,,,,,0.0,,,,3,,12
2022090871,7.0,98,7 CENTRE DR,,JAMESBURG,NJ,08831,SYSTEM FREIGHT,8005244449.0,080000,,,,,N,,,,,,,99.0,,0.0,,,,1,00143155,8
2022049497,2.0,3,100 N CONAHAN DR,,HAZLETON,PA,18201,DEANGELO CONTRACTING SERVICES LL,5705809100.0,021000,,,,,N,,,,,,,,,0.0,,,,2,00342576,3
2022072247,99.0,8,1234 MARKET SREET S 4TH STREET,,PHILADELPIA,PA,19107,SEPTA,2155807800.0,,,,,,N,,,,,,,,A-8661000,0.0,,,,2,00010206,15
2022096714,99.0,99,UNK,,LANCASTER,PA,99999,LANCASTER FAMILY FARM,9999999999.0,999999,,,,,,,,,,,,,,0.0,,,,2,,99
2022083739,2.0,3,322 MEADOW RUN RD,,MOUNT MORRIS,PA,15349,NEXGEN INDUSTRIAL SERVICES INC,7242082168.0,,,,,,N,,,,,,,99.0,,0.0,,,,1,,3
2022088506,2.0,4,1014 DARBY ROAD,,HAVERTOWN,PA,19083,HAVERFORD TOWNSHIP,6104461000.0,025500,,,,,N,,,,,,,2.0,,0.0,,,,1,,3
2022018856,6.0,3,17592 US-322,,STRATTANVILLE,PA,16258,NEISWONGER CONSTRUCTION,8147643455.0,080000,,,,,N,,,,,,,,,0.0,,,,2,01568557,8
