CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMT_TYPE,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMT_TYPE,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_PASSNGR_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2022034543,N,N,U,Y,3.0,U,Y,Y,Y,99999.0,,,,,,,,N,N,,,,,1
2022063949,Y,Y,U,U,0.0,N,N,Y,N,883.0,,,,,,,,N,N,,,,,1
2022035341,N,U,Y,U,1.0,U,Y,Y,Y,300.0,,,,,,,,N,N,,,,,1
2022094053,Y,Y,Y,Y,1.0,Y,Y,Y,N,650.0,,,,,,,,N,N,,,,,2
2022065838,N,N,U,U,0.0,N,N,Y,Y,1352.0,,,,,,,,N,N,,,,,1
2022075911,N,Y,Y,Y,1.0,N,Y,Y,Y,400.0,,,,,,,,N,N,,,,,1
2022094462,N,N,Y,Y,3.0,Y,Y,Y,Y,580.0,,,,,,,,N,N,,,,,1
2022065154,N,N,Y,N,1.0,N,Y,Y,N,883.0,,,,,,,,N,N,,,,,2
2022057764,Y,Y,Y,Y,1.0,Y,Y,Y,Y,1200.0,,,,,,,,N,N,,,,,1
2022043721,Y,Y,Y,Y,1.0,N,Y,Y,Y,1584.0,,,,,,,,N,N,,,,,2
2022054259,N,N,U,Y,1.0,U,Y,Y,N,1000.0,,,,,,,,N,N,,,,,2
2023022156,Y,U,N,U,0.0,N,N,Y,Y,1400.0,U,U,0.0,N,N,Y,Y,N,N,,,,,1
2022061669,N,U,N,N,0.0,N,,Y,Y,99999.0,,,,,,,,N,N,,,,,1
2022050388,N,N,U,U,0.0,,,U,U,471.0,,,,,,,,N,N,,,,,2
2023004246,N,N,Y,Y,1.0,Y,N,Y,N,321.0,,,,,,,,N,N,,,,,1
2022065155,N,N,U,Y,3.0,U,Y,N,N,50.0,,,,,,,,N,N,,,,,1
2022059263,N,N,Y,U,9.0,U,U,Y,N,1449.0,,,,,,,,N,N,,,,,1
2022056169,N,N,N,Y,1.0,U,Y,Y,Y,49.0,,,,,,,,N,N,,,,,2
