CRN,CRASH_YEAR,TRAILER_PARTIAL_VIN,TRL_SEQ_NUM,TRL_VEH_REG_STATE,TRL_VEH_TAG_NUM,TRL_VEH_TYPE_CD,UNIT_NUM
2022099898,2022,2TVWF4822G,1,PA,XJV5457,7.0,1
2022035508,2022,1JJV532D6L,1,IL,718581ST,7.0,1
2022111338,2022,1KKVA45204,1,IN,P52771,7.0,2
2022051728,2022,1UYVS2536K,1,ID,TK4071,7.0,4
2022090134,2022,5V8VC5324E,1,ON,LT5105,7.0,1
2022098138,2022,1GR1A0623N,1,NJ,TXY91D,7.0,1
2022049193,2022,4JAHD1848L,1,PA,XKC5712,3.0,1
2022059087,2022,1GRAA06267,1,NC,AB53643,7.0,1
2022016319,2022,,0,CA,4UM4859,7.0,1
2022094092,2022,LJRC542646,1,OK,8300FL,7.0,1
2022110636,2022,9999999999,1,ME,A,7.0,1
2022095411,2022,5V8VC5321M,1,CA,4TU2784,7.0,2
2022009410,2022,9999999999,1,IN,P789503,7.0,2
2022016319,2022,,0,IN,PA53726,7.0,2
2022123789,2022,1DW1A5326P,1,IN,PC18400,7.0,1
2022049267,2022,3H3V532C3D,1,PA,PT148M0,7.0,2
2022107255,2022,5A3C612SON,1,PA,XNM-8207,6.0,1
2022011175,2022,9999999999,1,OK,C9558,3.0,2
2022020882,2022,9999999999,1,ZZ,532327,7.0,2
2022025144,2022,,0,NC,CK24136,7.0,1
2022073540,2022,52616281XH,1,IN,P590193,7.0,1
2022051143,2022,13N253201N,1,KY,A5W737,7.0,1
2022044669,2022,7HCGC4538M,1,NY,CD20406,6.0,1
2022009228,2022,9999999999,1,IL,799594ST,7.0,1
2022043334,2022,1GRAA9323H,1,NY,4407D7,7.0,1
2022075576,2022,9999999999,1,PA,XP14938,3.0,1
2022106918,2022,1UYVS2533D,1,FL,4635CU,7.0,2
2022123577,2022,7F21A2811N,1,IN,PB87840,7.0,1
2022113306,2022,1TTF482A3K,1,ME,3015185,7.0,1
2022057984,2022,10002TL312,1,PA,999999999999,8.0,2
2022043662,2022,9999999999,1,NJ,TU19E,7.0,1
2022108703,2022,1P9SR5129N,1,VA,193500TM,7.0,1
2022002957,2022,,1,IL,838751ST,7.0,2
2022063806,2022,3H3V532K6N,1,IL,875048ST,7.0,2
2022110102,2022,3CV1U1817P,1,PA,XNZ2712,3.0,1
2022111304,2022,7HCBD1626N,1,PA,PT811N9,3.0,1
2022055178,2022,9999999999,1,,PT4446R,7.0,2
2022098138,2022,5FWFP3227E,1,IL,105332TE,7.0,3
2022098138,2022,1UYFS2486L,1,NJ,TVO25W,7.0,2
2022052840,2022,1GRAA0621K,1,NY,BN42242,7.0,1
2022114241,2022,999,1,,,6.0,1
2022018873,2022,9999999999,1,IL,474472ST,7.0,2
2022079175,2022,1GR1A0626L,1,PA,PT291P4,7.0,2
2022119990,2022,57PB1426JP,1,PA,XLG5211,3.0,2
2022025842,2022,9999999999,1,PA,XKM2049,8.0,2
2022033934,2022,1TTF482A4K,1,IL,664220ST,7.0,1
2022063828,2022,9326409,1,PA,9326409,8.0,2
2022064891,2022,1GRDM9622J,1,ME,2836027,7.0,2
2022112088,2022,3H3V532C2G,1,ME,273738Z,7.0,2
2022057335,2022,4P5FD4026J,1,NY,CB82851,3.0,1
2022066309,2022,1UYVS2533L,1,TN,030687T,7.0,1
2022078787,2022,3ELA6RX22N,1,ME,3153458,7.0,1
2022104757,2022,4YMBU1418M,1,PA,XNT7076,7.0,1
2022007553,2022,9999999999,1,PA,PT072E9,7.0,2
2022027205,2022,9999999999,1,OK,BL5404,7.0,2
2022101562,2022,1JJV532D1E,1,TN,U445869,7.0,1
2022120262,2022,1UYVS2537N,1,NJ,TUY41B,7.0,1
2022007666,2022,LD98D8204S,1,,,3.0,2
2022018105,2022,1UYVS2532J,1,IL,6166145ST,7.0,1
2022006750,2022,9999999999,1,ME,233790E,7.0,1
2022025476,2022,,0,PA,PT700M3,7.0,1
2022069308,2022,1UYVS2533D,1,MB,TE5837,7.0,1
2022108842,2022,AJACH2029N,1,PA,XPC5790,6.0,1
2023026882,2022,9999999999,1,IN,P985467,6.0,2
2022019794,2022,9999999999,1,TN,U739778,7.0,2
2022074882,2022,3H3V532CXE,1,IL,T485810,7.0,2
2022029576,2022,,0,PA,XKX4632,8.0,1
2022099079,2022,UNKNOWN,1,ZZ,,8.0,2
2022038997,2022,1GR4M9626L,1,PA,P735060,7.0,2
2022089830,2022,5LEB1KS28N,1,PA,PT619L8,3.0,1
2022031192,2022,1JJV482D3K,1,TN,U944344,7.0,2
2022081898,2022,1GR1A0629L,1,IN,P936315,7.0,2
2022050034,2022,1E1U1Y2851,1,GA,WDJ993,7.0,1
2022059820,2022,1W9FH45256,1,PA,PT655LP,3.0,1
2022088847,2022,3664399,1,ME,5103648,8.0,1
2022121022,2022,1JJV532D1N,1,IL,236AB028,6.0,1
2022080180,2022,1M91H4323J,1,OK,AJ7286,7.0,2
2022094948,2022,1GRAA72259,1,OH,TQW7172,7.0,1
2022121022,2022,1YGUS2020K,1,PA,XLG8997,8.0,2
2022122903,2022,3UTVS2530N,1,TX,199B147,7.0,1
2022118938,2022,1UYVS2532L,1,CA,4SL8030,7.0,1
2022075237,2022,5DDKE2333N,1,PA,PT583E6,6.0,2
2022061657,2022,1W9A1136RS,1,PA,PT097N9,7.0,1
2022024659,2022,9999999999,1,PA,PT3317N,7.0,2
2022061718,2022,9999999999,1,,,6.0,2
2022084972,2022,4PKC408S6T,1,PA,XJK2798,6.0,1
2022075433,2022,1UYVS2539G,1,NJ,TYR39G,7.0,1
2022012129,2022,9999999999,1,CA,4PB2834,7.0,1
2022096973,2022,9999999999,1,IN,P296814,7.0,2
2022033295,2022,1UYVS253XL,1,IN,P869551,7.0,2
2022069115,2022,1GR1A0625N,1,CA,4UL7823,7.0,1
2022098365,2022,9999999999,1,,999999999999,3.0,2
2022121697,2022,1GRAP0621J,1,NJ,TZG91B,7.0,2
2022061888,2022,3H3V532C9L,1,ID,TL5350,7.0,1
2022098613,2022,1JJV532D1F,1,ME,289625Y,7.0,1
2022103106,2022,1UYVS253XJ,1,PA,PT306D9,7.0,1
2022123886,2022,SW41465PA,1,PA,PT582N8,7.0,2
2022015429,2022,9999999999,1,SK,167JAA,7.0,2
2022062332,2022,5MAPA482XK,1,NJ,TVL29D,7.0,2
2022099122,2022,1E1H5Y280D,1,NJ,TXY10U,7.0,1
2022110510,2022,1UYVS2535H,1,NE,17596C,7.0,1
2022122621,2022,1UYVS2537H,1,QC,4243,6.0,1
2022006212,2022,1GRAA06226,1,NJ,TYX94Z,7.0,1
2022121306,2022,9999999999,1,ZZ,UNKNOWN,7.0,1
2022029383,2022,UNKNOWN,1,ZZ,UNKNOWN,9.0,1
2022105530,2022,1GRDM9026F,1,ME,3224580,7.0,2
2022118078,2022,4A2LB1629F,1,PA,XHW0242,9.0,1
2022051127,2022,1DW1A5325P,1,MX,2952520,7.0,1
2022039901,2022,5K8CG5320M,1,ME,4567532,7.0,1
2022110225,2022,5C8VC5329P,1,ON,W7637Y,7.0,1
2022051335,2022,3E1FB7231J,1,WI,734424,6.0,1
2022089897,2022,1UYVS2530N,1,NE,28042C,7.0,2
